bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,surveydate,problem
C,21,B,698,35.1,42.7,22.6,0,NA,7/18/25,extreme value
C,28,B,2557,30.7,6.5,1.2,0,NA,7/18/25,extreme value
C,30,B,341,36.6,36.5,34.5,0,NA,7/18/25,extreme value
C,31,A,1228,37.1,19.5,17.5,0,NA,7/18/25,extreme value
C,50,B,404,48.5,9.1,4.6,1,NA,7/18/25,extreme value
C,23,D,737,30.9,26.4,19.6,1,NA,7/18/25,extreme value
C,29,C,711,30.9,24.2,13,1,NA,7/18/25,extreme value
C,43,D,1048,35.2,20.6,5.5,1,NA,7/18/25,extreme value
C,47,D,1399,32.1,11.3,11.1,1,NA,7/18/25,extreme value
C,49,C,2643,34.2,17.7,9.6,1,NA,7/18/25,extreme value
D,33,B,246,39.6,38.4,32.4,0,NA,7/18/25,extreme value
D,45,B,398,49.7,9.4,8.6,1,NA,7/18/25,extreme value
D,47,B,1403,37.2,29.8,11.5,0,NA,7/18/25,extreme value
D,57,B,1327,31.7,36.6,24.4,0,NA,7/18/25,extreme value
D,40,D,1404,37.6,29.8,20.5,0,NA,7/18/25,extreme value
D,55,D,1796,40.9,7.5,5.6,1,NA,7/18/25,extreme value
E,18,B,372,36.9,16.4,11.4,0,NA,7/18/25,extreme value
E,27,A,95,32.1,14.6,13.8,1,drying,7/18/25,extreme value
E,7,D,1406,31.2,32.5,24.2,1,NA,7/18/25,extreme value
E,13,D,1490,31.5,28.7,19.5,1,NA,7/18/25,extreme value
E,27,D,79,35.7,32.3,21.2,1,NA,7/18/25,extreme value
E,28,C,2637,37.7,6.6,3.1,0,NA,7/18/25,extreme value
E,51,C,1715,39.6,4.1,1.8,0,NA,7/18/25,extreme value
F,11,A,2288,39.4,12.9,9.4,0,NA,7/18/25,extreme value
F,8,D,2267,30.3,5.7,4.1,1,NA,7/18/25,extreme value
F,41,D,314,43.2,30.7,23.2,1,NA,7/18/25,extreme value
F,44,D,2140,38.5,9.6,5.8,1,NA,7/18/25,extreme value
G,7,A,2335,43.1,6.4,2.3,1,NA,7/18/25,extreme value
G,42,B,1464,32.6,12.4,10.4,0,NA,7/18/25,extreme value
G,4,D,1100,30.4,25.9,25.7,0,NA,7/18/25,extreme value
G,34,D,2275,30.9,12.6,5.7,0,NA,7/18/25,extreme value
G,35,C,1394,35.5,5.2,4.2,0,NA,7/18/25,extreme value
G,38,D,1447,33.2,12.6,11.5,0,NA,7/18/25,extreme value
H,23,B,734,33.6,19.3,19.2,0,NA,7/18/25,extreme value
