bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,surveydate,problem
C,21,B,698,34.6,46.5,24.4,0,NA,7/25/25,extreme value
C,25,B,1459,30.1,28.3,15.2,1,NA,7/25/25,extreme value
C,28,B,2557,30.8,7.3,1.4,1,NA,7/25/25,extreme value
C,30,B,341,38.6,39.7,31.3,0,NA,7/25/25,extreme value
C,31,A,1228,38.2,17.9,16.8,0,NA,7/25/25,extreme value
C,41,A,2493,31,1.9,1.9,0,NA,7/25/25,extreme value
C,50,B,404,49.6,12.1,7.2,1,NA,7/25/25,extreme value
C,43,D,1048,36.2,20.3,5.2,0,NA,7/25/25,extreme value
D,15,B,1107,31.1,19.6,18.2,1,NA,7/25/25,extreme value
D,30,A,103,30.9,18.5,16.6,1,NA,7/25/25,extreme value
D,33,B,246,41.7,34.2,29.8,0,NA,7/25/25,extreme value
D,45,B,398,49.2,9.8,6.6,0,NA,7/25/25,extreme value
D,47,B,1403,36.2,29.8,14.1,1,NA,7/25/25,extreme value
D,57,B,1327,30.7,36.1,16.6,1,NA,7/25/25,extreme value
D,40,D,1404,37.9,29.3,20.7,0,NA,7/25/25,extreme value
D,55,D,1796,43,9.7,6.3,0,NA,7/25/25,extreme value
E,18,B,372,33.9,11.5,7.4,0,NA,7/25/25,extreme value
E,27,A,95,33,24.9,16.1,1,NA,7/25/25,extreme value
E,44,B,2273,30.3,8.9,2.4,0,NA,7/25/25,extreme value
E,13,D,1490,30.2,33.5,26.4,0,NA,7/25/25,extreme value
E,28,C,2637,36.8,7.8,2.1,0,NA,7/25/25,extreme value
E,49,C,380,31.6,15.9,14.3,1,NA,7/25/25,extreme value
E,51,C,1715,38.7,3.7,2.4,0,NA,7/25/25,extreme value
F,11,A,2288,36.1,15.2,11.7,0,NA,7/25/25,extreme value
F,19,B,2341,32.6,6.1,5.8,1,NA,7/25/25,extreme value
F,6,D,565,31.2,1.6,1.2,0,NA,7/25/25,extreme value
F,41,D,314,31,21.2,13.2,0,NA,7/25/25,extreme value
F,44,D,2140,38.1,9.7,2,0,NA,7/25/25,extreme value
G,7,A,2335,43.4,8,3.2,0,NA,7/25/25,extreme value
G,42,B,1464,33,12,7.8,0,NA,7/25/25,extreme value
G,4,D,1100,31.3,28.2,12.4,1,NA,7/25/25,extreme value
G,34,D,2275,32.9,13.4,5.8,0,NA,7/25/25,extreme value
G,35,C,1394,37.5,5.5,1.1,0,NA,7/25/25,extreme value
G,38,D,1447,34.4,18.6,10.1,0,NA,7/25/25,extreme value
H,23,B,734,36.8,20.1,19.7,0,NA,7/25/25,extreme value
