Plant.Type,pop.id,mf,rep,unique.ID,block,bed,row,col,UCD_Garden_2023,WL2_Garden_2023,WL2_Garden_2024,WL2_Garden_2025
Other_Parent,BH,6,1,212,A2,A,45,A,1,1,1,NA
Other_Parent,BH,6,2,213,C2,C,34,B,1,1,1,NA
Other_Parent,BH,6,3,214,F1,F,7,B,1,1,1,NA
Other_Parent,BH,7,1,215,A1,A,6,C,1,1,1,NA
Other_Parent,BH,7,2,216,B1,B,16,B,1,1,1,NA
Other_Parent,BH,7,3,217,B2,B,28,C,1,1,1,NA
Other_Parent,BH,3,1,203,A1,A,17,C,1,1,1,1
Other_Parent,BH,3,2,204,B1,B,13,B,1,1,1,1
Other_Parent,BH,3,3,205,B2,B,27,D,1,1,1,1
Other_Parent,BH,2,1,200,A2,A,31,C,1,1,1,NA
Other_Parent,BH,2,2,201,C2,C,45,C,1,1,1,NA
Other_Parent,BH,2,3,202,F1,F,18,A,1,1,1,NA
Other_Parent,BH,4,2,207,C1,C,21,B,1,1,1,NA
Other_Parent,BH,4,3,208,D2,D,27,A,1,1,1,NA
Other_Parent,BH,4,1,206,E1,E,21,A,1,1,1,NA
Other_Parent,BH,5,3,211,D1,D,6,C,1,1,1,NA
Other_Parent,BH,5,2,210,E2,E,34,B,1,1,1,NA
Other_Parent,BH,5,1,209,F2,F,29,D,1,1,1,NA
Other_Parent,BH,1,3,199,D1,D,20,D,1,1,1,1
Other_Parent,BH,1,2,198,E2,E,30,B,1,1,1,1
Other_Parent,BH,1,1,197,F2,F,45,A,1,1,1,1
Other_Parent,CC,7,1,257,A1,A,19,B,1,NA,1,NA
Other_Parent,CC,7,3,259,B1,B,2,A,1,NA,1,NA
Other_Parent,CC,5,1,251,A2,A,27,A,1,1,1,NA
Other_Parent,CC,5,3,253,C2,C,26,A,1,1,1,NA
Other_Parent,CC,1,1,239,A1,A,11,D,1,1,1,1
Other_Parent,CC,1,3,241,B1,B,19,D,1,1,1,1
Other_Parent,CC,2,1,242,B2,B,43,D,1,1,1,NA
Other_Parent,CC,2,3,244,C1,C,2,A,1,1,1,NA
Other_Parent,CC,2,2,243,E1,E,2,C,1,1,1,NA
Other_Parent,CC,3,1,245,D2,D,39,B,1,1,1,NA
Other_Parent,CC,3,2,246,F2,F,33,C,1,1,1,NA
Other_Parent,CC,4,2,249,D1,D,8,D,1,1,1,NA
Other_Parent,CC,4,1,248,E2,E,37,B,1,1,1,NA
Other_Parent,CC,6,1,254,F1,F,6,B,1,NA,1,NA
Other_Parent,DPR,4,1,227,A1,A,22,B,1,1,1,NA
Other_Parent,DPR,4,2,228,B1,B,6,B,1,1,1,NA
Other_Parent,DPR,4,3,229,B2,B,36,B,1,1,1,NA
Other_Parent,DPR,7,1,236,A2,A,27,C,1,1,1,NA
Other_Parent,DPR,7,2,237,C2,C,35,B,1,1,1,NA
Other_Parent,DPR,7,3,238,F1,F,14,C,1,1,1,NA
Other_Parent,DPR,3,1,224,A2,A,30,D,1,1,1,NA
Other_Parent,DPR,3,2,225,C2,C,29,A,1,1,1,NA
Other_Parent,DPR,3,3,226,F1,F,17,D,1,1,1,NA
Other_Parent,DPR,5,2,231,C1,C,7,D,1,1,1,NA
Other_Parent,DPR,5,3,232,D2,D,33,B,1,1,1,NA
Other_Parent,DPR,5,1,230,E1,E,17,A,1,1,1,NA
Other_Parent,DPR,6,3,235,D1,D,22,A,1,1,1,NA
Other_Parent,DPR,6,2,234,E2,E,25,D,1,1,1,NA
Other_Parent,DPR,6,1,233,F2,F,34,D,1,1,1,NA
Other_Parent,DPR,2,3,223,D1,D,9,C,1,NA,1,NA
Other_Parent,DPR,2,2,222,E2,E,35,D,1,NA,1,NA
Other_Parent,DPR,2,1,221,F2,F,44,A,1,NA,1,NA
Other_Parent,LV1,6,1,296,D1,D,21,B,1,1,1,NA
Other_Parent,LV1,4,1,290,D2,D,31,B,1,1,1,NA
Other_Parent,SQ3,4,2,333,A2,A,26,D,1,1,1,NA
Other_Parent,SQ3,6,2,339,C2,C,30,C,1,1,1,NA
Other_Parent,SQ3,6,3,340,F1,F,20,D,1,1,1,NA
Other_Parent,SQ3,3,3,331,D1,D,6,A,1,1,1,NA
Other_Parent,WL1,3,2,344,A1,A,15,B,1,1,1,NA
Other_Parent,WL1,3,1,364,D1,D,7,C,1,1,1,NA
Other_Parent,WL1,7,4,356,A1,A,23,B,1,1,1,NA
Other_Parent,WL1,7,1,353,A2,A,40,B,1,1,1,NA
Other_Parent,WL1,7,5,357,B1,B,3,D,1,1,1,NA
Other_Parent,WL1,7,2,354,C2,C,37,D,1,1,1,NA
Other_Parent,WL1,7,3,355,F1,F,15,A,1,1,1,NA
Other_Parent,WL1,4,1,345,B1,B,19,A,1,1,1,NA
Other_Parent,WL1,4,2,346,B2,B,45,B,1,1,1,NA
Other_Parent,WL1,4,3,347,E1,E,15,B,1,1,1,NA
Other_Parent,WL1,6,1,348,C1,C,21,D,1,NA,1,NA
Other_Parent,WL1,6,5,352,D1,D,5,A,1,NA,1,NA
Other_Parent,WL1,6,2,349,D2,D,29,D,1,NA,1,NA
Other_Parent,WL1,6,4,351,E2,E,26,B,1,NA,1,NA
Other_Parent,WL1,6,3,350,F2,F,30,C,1,NA,1,NA
Other_Parent,WL1,2,3,363,E2,E,30,C,1,1,1,NA
Other_Parent,WL1,1,1,362,F2,F,45,B,1,NA,1,NA
Other_Parent,WV,4,1,260,B2,B,38,B,1,NA,1,NA
Other_Parent,WV,4,3,262,C1,C,22,C,1,NA,1,NA
Other_Parent,WV,4,4,263,D2,D,32,B,1,NA,1,NA
Other_Parent,WV,4,7,266,D1,D,4,C,1,NA,1,NA
Other_Parent,WV,4,2,261,E1,E,2,A,1,NA,1,NA
Other_Parent,WV,4,6,265,E2,E,29,A,1,NA,1,NA
Other_Parent,WV,4,5,264,F2,F,42,A,1,NA,1,NA
Other_Parent,YO11,2,1,304,A2,A,35,B,1,NA,1,NA
Other_Parent,YO11,2,2,305,C2,C,41,C,1,NA,1,NA
Other_Parent,YO11,5,3,312,A1,A,15,C,1,1,1,1
Other_Parent,YO11,6,1,313,B1,B,15,C,1,1,1,NA
Other_Parent,YO11,6,2,314,B2,B,33,D,1,1,1,NA
Other_Parent,YO11,7,3,318,E1,E,23,D,1,1,1,NA
Other_Parent,DPR,1,2,219,C1,C,22,B,NA,1,1,NA
Other_Parent,DPR,1,3,220,D2,D,26,B,NA,1,1,NA
Other_Parent,DPR,1,1,218,E1,E,7,C,NA,1,1,NA
Other_Parent,LV1,2,2,283,A1,A,9,A,NA,1,1,NA
Other_Parent,LV1,2,4,285,B2,B,34,B,NA,1,1,NA
Other_Parent,LV1,2,3,284,B1,B,5,D,NA,1,1,NA
Other_Parent,LV1,2,5,286,E1,E,17,C,NA,1,1,NA
Other_Parent,LV1,2,1,282,F1,F,10,B,NA,1,1,NA
Other_Parent,LV1,5,2,294,E2,E,37,C,NA,1,1,NA
Other_Parent,LV1,5,1,293,F2,F,43,D,NA,1,1,NA
Other_Parent,YO11,8,1,319,C1,C,13,A,NA,1,1,NA
Other_Parent,YO11,8,4,322,E2,E,25,C,NA,1,1,NA
Other_Parent,YO11,8,3,321,F2,F,28,D,NA,1,1,NA
F2,(LV1 x WL2) x (SQ3 x WL2),NA,17,1122,A1,A,12,D,NA,NA,1,NA
F2,(LV1 x WL2) x (SQ3 x WL2),NA,7,1112,F1,F,13,B,NA,NA,1,NA
F2,(LV1 x WL2) x (YO11 x WL2),NA,6,1160,B2,B,31,C,NA,NA,1,1
F2,(SQ3 x WL2) x (SQ3 x WL2),NA,3,1165,E1,E,15,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,9,1240,A1,A,4,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,6,1237,A2,A,42,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,18,1249,A2,A,44,D,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,10,1241,B1,B,14,A,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,11,1242,B2,B,32,A,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,1,1232,C1,C,12,B,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,13,1244,C1,C,17,D,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,7,1238,C2,C,33,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,19,1250,C2,C,35,D,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,5,1236,D1,D,5,B,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,17,1248,D1,D,17,B,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,14,1245,D2,D,26,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,2,1233,D2,D,27,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,12,1243,E1,E,22,B,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,16,1247,E2,E,34,A,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,4,1235,E2,E,35,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,20,1251,F1,F,2,B,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,8,1239,F1,F,17,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,3,1234,F2,F,31,C,NA,NA,1,NA
F2,(TM2 x BH) x (TM2 x WL2),NA,15,1246,F2,F,42,C,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,4,1267,A1,A,13,A,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,1,1264,A2,A,32,C,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,7,1270,B2,B,31,A,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,6,1269,B1,B,22,C,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,10,1273,C1,C,9,D,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,2,1265,C2,C,42,D,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,11,1274,D2,D,25,D,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,8,1271,E1,E,13,A,NA,NA,1,NA
F2,(TM2 x WL2) x (TM2 x WL2),NA,3,1266,F1,F,20,A,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,10,1304,A2,A,45,C,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,1,1295,B2,B,27,A,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,3,1297,C1,C,8,D,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,8,1302,D1,D,19,A,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,4,1298,D2,D,43,B,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,2,1296,E1,E,9,C,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,7,1301,E2,E,41,C,NA,NA,1,NA
F2,(TM2 x WL2) x (YO11 x WL2),NA,6,1300,F2,F,25,B,NA,NA,1,NA
F1,BH x WL2,NA,16,380,A1,A,16,B,NA,NA,1,1
F1,BH x WL2,NA,5,369,A2,A,38,B,NA,NA,1,1
F1,BH x WL2,NA,29,393,A2,A,36,C,NA,NA,1,1
F1,BH x WL2,NA,17,381,B1,B,4,A,NA,NA,1,1
F1,BH x WL2,NA,18,382,B2,B,32,C,NA,NA,1,1
F1,BH x WL2,NA,10,374,C2,C,30,A,NA,NA,1,1
F1,BH x WL2,NA,20,384,C1,C,18,C,NA,NA,1,1
F1,BH x WL2,NA,30,394,C2,C,44,D,NA,NA,1,1
F1,BH x WL2,NA,24,388,D1,D,20,A,NA,NA,1,1
F1,BH x WL2,NA,23,387,E2,E,27,A,NA,NA,1,1
F1,BH x WL2,NA,19,383,E1,E,13,D,NA,NA,1,1
F1,BH x WL2,NA,22,386,F2,F,30,A,NA,NA,1,1
F1,BH x WL2,NA,11,375,F1,F,8,C,NA,NA,1,1
F1,DPR x WL2,NA,18,472,A1,A,5,B,NA,NA,1,1
F1,DPR x WL2,NA,6,460,A1,A,20,C,NA,NA,1,1
F1,DPR x WL2,NA,15,469,A2,A,24,D,NA,NA,1,1
F1,DPR x WL2,NA,7,461,B1,B,8,A,NA,NA,1,1
F1,DPR x WL2,NA,14,462,B2,B,29,A,NA,NA,1,1
F1,DPR x WL2,NA,19,473,B1,B,17,D,NA,NA,1,1
F1,DPR x WL2,NA,20,474,B2,B,37,D,NA,NA,1,1
F1,DPR x WL2,NA,12,464,C1,C,5,A,NA,NA,1,1
F1,DPR x WL2,NA,22,476,C1,C,19,B,NA,NA,1,1
F1,DPR x WL2,NA,16,470,C2,C,39,A,NA,NA,1,1
F1,DPR x WL2,NA,8,468,D1,D,17,C,NA,NA,1,1
F1,DPR x WL2,NA,11,465,D2,D,37,C,NA,NA,1,1
F1,DPR x WL2,NA,28,482,D2,D,45,D,NA,NA,1,1
F1,DPR x WL2,NA,13,463,E1,E,4,B,NA,NA,1,1
F1,DPR x WL2,NA,9,467,E2,E,45,A,NA,NA,1,1
F1,DPR x WL2,NA,21,475,E1,E,20,D,NA,NA,1,1
F1,DPR x WL2,NA,30,484,E2,E,40,D,NA,NA,1,1
F1,DPR x WL2,NA,1,455,F1,F,6,C,NA,NA,1,1
F1,DPR x WL2,NA,17,471,F1,F,9,D,NA,NA,1,1
F1,DPR x WL2,NA,10,466,F2,F,28,C,NA,NA,1,1
F1,DPR x WL2,NA,29,483,F2,F,30,D,NA,NA,1,1
F1,LV1 x TM2,NA,5,489,A1,A,20,B,NA,NA,1,NA
F1,LV1 x TM2,NA,2,486,A2,A,31,A,NA,NA,1,NA
F1,LV1 x TM2,NA,29,513,A2,A,36,A,NA,NA,1,NA
F1,LV1 x TM2,NA,14,498,A2,A,39,B,NA,NA,1,NA
F1,LV1 x TM2,NA,17,501,A1,A,5,C,NA,NA,1,NA
F1,LV1 x TM2,NA,20,504,B1,B,7,C,NA,NA,1,NA
F1,LV1 x TM2,NA,6,490,B1,B,16,C,NA,NA,1,NA
F1,LV1 x TM2,NA,7,491,B2,B,35,C,NA,NA,1,NA
F1,LV1 x TM2,NA,21,505,B2,B,38,D,NA,NA,1,NA
F1,LV1 x TM2,NA,24,508,C1,C,3,B,NA,NA,1,NA
F1,LV1 x TM2,NA,15,499,C2,C,34,A,NA,NA,1,NA
F1,LV1 x TM2,NA,3,487,C2,C,38,A,NA,NA,1,NA
F1,LV1 x TM2,NA,30,514,C2,C,41,A,NA,NA,1,NA
F1,LV1 x TM2,NA,9,493,C1,C,10,C,NA,NA,1,NA
F1,LV1 x TM2,NA,28,512,D1,D,3,B,NA,NA,1,NA
F1,LV1 x TM2,NA,1,485,D1,D,17,A,NA,NA,1,NA
F1,LV1 x TM2,NA,25,509,D2,D,31,A,NA,NA,1,NA
F1,LV1 x TM2,NA,13,497,D1,D,10,D,NA,NA,1,NA
F1,LV1 x TM2,NA,10,494,D2,D,26,D,NA,NA,1,NA
F1,LV1 x TM2,NA,8,492,E1,E,9,B,NA,NA,1,NA
F1,LV1 x TM2,NA,22,506,E1,E,16,A,NA,NA,1,NA
F1,LV1 x TM2,NA,27,511,E2,E,33,B,NA,NA,1,NA
F1,LV1 x TM2,NA,12,496,E2,E,28,D,NA,NA,1,NA
F1,LV1 x TM2,NA,16,500,F1,F,11,B,NA,NA,1,NA
F1,LV1 x TM2,NA,4,488,F1,F,14,B,NA,NA,1,NA
